,Account No,Amount,Third Party Account No,Third Party Name
20419,673025413.0,3300.0,990461108.0,
20425,678330503.0,660.0,355733816.0,
267,678726554.0,860.0,487051121.0,
20238,681955876.0,1340.0,197050303.0,
375,695607232.0,650.0,915666111.0,
20402,697140785.0,420.0,799453072.0,
20451,703537476.0,1250.0,854513972.0,
20661,706361191.0,940.0,897714622.0,
453,709142813.0,410.0,855129444.0,
251,709151315.0,890.0,361955473.0,
20505,709935470.0,670.0,434554820.0,
474,711140907.0,410.0,256045540.0,
20561,718058208.0,1500.0,361201224.0,
263,719742742.0,650.0,142791593.0,
20707,726913482.0,740.0,257633312.0,
276,737537711.0,690.0,137822385.0,
55,744398361.0,1340.0,820686957.0,
20688,760753808.0,1900.0,638384983.0,
20386,761272540.0,740.0,592961759.0,
20355,762785862.0,1170.0,880546403.0,
243,762896656.0,720.0,197865285.0,
335,766941757.0,1230.0,355940285.0,
319,773633520.0,520.0,338022396.0,
87,783650950.0,650.0,889916166.0,
20223,792845450.0,1500.0,996042490.0,
20717,797184978.0,670.0,473241864.0,
20513,799286313.0,1470.0,536924114.0,
20495,799861885.0,860.0,130154096.0,
387,807098817.0,680.0,860360312.0,
200,812012103.0,620.0,291580432.0,
20683,815993333.0,1150.0,992204045.0,
20485,823208989.0,940.0,659415300.0,
90,828750680.0,1230.0,868377987.0,
429,838415080.0,1000.0,675398089.0,
20523,845648250.0,600.0,994947671.0,
20702,856147482.0,750.0,354894456.0,
398,856461967.0,620.0,567499591.0,
20330,857455726.0,1030.0,133755851.0,
246,857997794.0,1110.0,654329190.0,
20380,874506295.0,390.0,519649533.0,
20410,879091637.0,1120.0,179668921.0,
20287,890567652.0,420.0,779620857.0,
20448,890830949.0,830.0,866941383.0,
136,891513205.0,390.0,198051483.0,
20657,895750759.0,960.0,240643705.0,
279,899742927.0,1000.0,479366718.0,
20550,902798190.0,650.0,184430449.0,
20740,904154012.0,670.0,340321732.0,
487,909669130.0,770.0,358846516.0,
20643,916270283.0,1300.0,719586818.0,
20201,918772878.0,420.0,641764023.0,
20504,923322792.0,960.0,703588001.0,
197,925659248.0,1600.0,324046160.0,
20263,929044080.0,740.0,220183538.0,
20736,936813994.0,730.0,264208990.0,
239,938992364.0,670.0,684988568.0,
413,941285623.0,1150.0,243148289.0,
296,950234174.0,2590.0,891716230.0,
20538,960208650.0,1160.0,535804582.0,
211,965038148.0,610.0,642924505.0,
418,970298834.0,1330.0,472995101.0,
20256,973388795.0,1110.0,336171116.0,
123,978951113.0,640.0,384183820.0,
163,979122276.0,680.0,699714981.0,
31,979135922.0,2220.0,616924659.0,
20316,980500334.0,670.0,639420537.0,
20365,985188462.0,830.0,593378953.0,
20619,987656636.0,2670.0,450896297.0,
235,993238248.0,540.0,448279144.0,
20591,993663752.0,670.0,672994751.0,
20580,998405607.0,450.0,388862238.0,
